step,reward,bottom_target_delta_x,bottom_target_delta_y,bottom_target_delta_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,bottom_height,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,tvc_yaw_angle,tvc_pitch_angle,tvc_yaw_velocity,tvc_pitch_velocity,foot1_contact,foot2_contact,foot3_contact,foot4_contact,main_motor_power,phase_climb,phase_flip,phase_recovery,phase_hover,phase_done,task_flip_progress,task_hover_timer_fraction,phase_target_delta_z,phase,success,fail,fail_reason,phase_bonus,flip_progress,hover_timer,climb_ready_timer,upright_score,rel_dist,linear_speed,angular_speed,joint_speed,height,main_thrust_newton
15,125.90546652506312,0.5756799578666687,0.10276225954294205,-4.528692722320557,0.6916453838348389,-0.11178984493017197,0.712723433971405,0.03398454561829567,9.528693199157715,-1.0658208131790161,-0.5660921931266785,1.9351259469985962,-4.295782089233398,10.411711692810059,-0.05906142294406891,0.6567453742027283,-0.8127337694168091,-3.3288254737854004,0.002519848756492138,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.26597273349761963,0.0,0.47130706906318665,flip,False,False,,0.0,0.2659727261236782,0.0,0.0,-0.040943395070651735,0.5847798987758684,2.2806022695219186,11.263257886204803,3.3288264456949395,9.528692931537517,35.30394
16,127.14221089614392,0.5787661671638489,0.12940777838230133,-4.621645450592041,0.6250753998756409,-0.13960422575473785,0.766350507736206,0.04998290538787842,9.6216459274292,-0.8300795555114746,-0.6274775862693787,2.017437219619751,-4.759490013122559,10.536523818969727,-0.0678933709859848,0.6209373474121094,-0.8127008080482483,-1.0462052822113037,0.0017040130915120244,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2928037643432617,0.0,0.3783543109893799,flip,False,False,,0.0,0.2928037640096049,0.0,0.0,-0.21356483394520534,0.5930570457946027,2.269980886074448,11.561820485380686,1.0462067211150843,9.621645680967667,35.30394
17,128.34410639436274,0.5656909346580505,0.1555090695619583,-4.713817596435547,0.5521033406257629,-0.16798070073127747,0.8138774037361145,0.06758641451597214,9.713817596435547,-0.5520548820495605,-0.6621919274330139,2.0561892986297607,-4.980207443237305,10.638358116149902,-0.05598849430680275,0.6035805940628052,-0.8126775026321411,-1.623156189918518,0.0012346584117040038,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.31989413499832153,0.0,0.2861822247505188,flip,False,False,,0.0,0.31989412017824087,0.0,0.0,-0.3812279921406206,0.5866764838858346,2.229613783398745,11.746500006466107,1.6231566293330932,9.713817785745581,35.30394
18,129.2164735970066,0.5366424322128296,0.17859071493148804,-4.801986217498779,0.47356554865837097,-0.19541487097740173,0.8545869588851929,0.08502848446369171,9.801986694335938,-0.24140708148479462,-0.6682595610618591,2.042560338973999,-4.778422832489014,10.720701217651367,-0.10081470757722855,0.5442600250244141,-0.8126609325408936,-10.05354118347168,0.0008129715570248663,0.0,0.0,0.0,0.0,0.9999997615814209,0.0,1.0,0.0,0.0,0.0,0.3471941649913788,0.0,0.19801375269889832,flip,False,False,,0.0,0.34719416161051747,0.0,0.0,-0.537012110541404,0.5655791106676237,2.162614314168229,11.73784140025275,10.053541652718048,9.801986241506143,35.303931582884786
19,126.01717129834354,0.4946601092815399,0.19286543130874634,-4.882984161376953,0.39191070199012756,-0.21962672472000122,0.8883140087127686,0.09522787481546402,9.882984161376953,0.08768441528081894,-0.6145574450492859,1.9596236944198608,-3.446897029876709,10.758161544799805,-0.5162168741226196,0.14663808047771454,-0.8015944957733154,-40.24409866333008,1.6799726486206055,0.0,0.0,0.0,0.0,0.9999950528144836,0.0,1.0,0.0,0.0,0.0,0.37458959221839905,0.0,0.11701574176549911,flip,False,False,,0.0,0.3745895952006652,0.0,0.0,-0.6746753704924245,0.5309290992441278,2.0556007455391785,11.308652419786133,40.27914826647852,9.882984258749119,35.30376534485936
20,125.67652665911824,0.4442993998527527,0.19302941858768463,-4.954347133636475,0.31014207005500793,-0.2413930594921112,0.9149262309074402,0.09193070977926254,9.954347610473633,0.358620285987854,-0.4145381450653076,1.8060578107833862,-2.5717101097106934,10.733553886413574,-1.1743578910827637,-0.6772342324256897,-0.7786116600036621,-40.28268051147461,0.5372574925422668,0.0,0.0,0.0,0.0,0.9998342990875244,0.0,1.0,0.0,0.0,0.0,0.4019223749637604,0.0,0.0456528402864933,flip,False,False,,0.0,0.40192236617924865,0.0,0.0,-0.7907214530874855,0.48441955943313714,1.8874044055581938,11.099639280750402,40.28626357149338,9.954347160350927,35.298090104928015
21,111.81746335815353,0.3883190155029297,0.1911209225654602,-5.012156009674072,0.23145754635334015,-0.2635621726512909,0.9318339228630066,0.09299425035715103,10.012155532836914,0.3896203339099884,-0.35073596239089966,1.655322790145874,-3.3326122760772705,9.097817420959473,-0.9106356501579285,-0.9665818214416504,-0.7774375677108765,-4.299544334411621,-0.18709644675254822,0.0,0.0,0.0,0.0,0.19997841119766235,0.0,1.0,0.0,0.0,0.0,0.4250897765159607,0.0,-0.012155983597040176,flip,False,False,,0.0,0.42508976695468736,0.0,0.0,-0.8755591711330337,0.4328034984278357,1.736350536107751,9.731692353122153,4.3036130095449305,10.012155983988478,7.060025830217599
22,109.3402426412842,0.3339926302433014,0.18372704088687897,-5.057438850402832,0.15944169461727142,-0.27951326966285706,0.9422804117202759,0.09251140058040619,10.057438850402832,0.4720841944217682,-0.13747353851795197,1.494935154914856,-1.9396696090698242,8.716363906860352,-0.4589311182498932,-0.9609298706054688,-0.7703014016151428,2.9248485565185547,1.4220958948135376,0.0,0.0,0.0,0.0,0.6692042946815491,0.0,1.0,0.0,0.0,0.0,0.44728580117225647,0.0,-0.05743895098567009,flip,False,False,,0.0,0.4472858063794065,0.0,0.0,-0.9320400980663239,0.38119116127512537,1.5737196648850684,8.941361336793626,3.2522447732665727,10.057438950839671,23.625548267179727
23,108.78756671340895,0.2827191948890686,0.16440726816654205,-5.093277454376221,0.09193211048841476,-0.28923436999320984,0.9493401646614075,0.08151807636022568,10.093277931213379,0.549841046333313,0.088551826775074,1.303344488143921,-0.4490030109882355,8.480982780456543,-0.2131028175354004,-0.9071412086486816,-0.7501677870750427,3.3327250480651855,0.6796987056732178,0.0,0.0,0.0,0.0,0.7072591781616211,0.0,1.0,0.0,0.0,0.0,0.4688824415206909,0.0,-0.09327765554189682,flip,False,False,,0.0,0.46888245102044507,0.0,0.0,-0.9698065973573904,0.3270472463517393,1.4173473334184417,8.495533003065955,3.401330018850598,10.093277653029347,24.96903559026718
24,96.52931615186611,0.23636728525161743,0.139243021607399,-5.119770526885986,0.031687039881944656,-0.29498565196990967,0.952766478061676,0.06492668390274048,10.119771003723145,0.5701538920402527,0.14828726649284363,1.1301178932189941,-0.04288114979863167,7.261305809020996,-0.06197446957230568,-0.8589906692504883,-0.7336682081222534,2.583556652069092,1.8029298782348633,0.0,0.0,0.0,0.0,0.1866506040096283,0.0,1.0,0.0,0.0,0.0,0.4873732030391693,0.0,-0.11977057158946991,flip,False,False,,0.0,0.48737321485321505,0.0,0.0,-0.9895609268624618,0.274332125237622,1.2744532126424786,7.261697055102915,3.1504478672208087,10.11977057035407,6.589501724919677
